ID,REF_DATE,GEO,DGUID,PRODUCT,STORAGE,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
76facdaf-543b-427d-a6c5-d667baf6bab4,Mar-70,Maritime provinces,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722343,2.1.1,503,,,,0
e36fc38a-5737-4a50-946e-3ca8efbff2d9,Mar-70,Maritime provinces,,Onions,Cold and common storage,Tonnes,288,units ,0,v722351,2.2.1,138,,,,0
5cd5c22e-355a-4209-b135-e0104fb231da,Mar-70,Maritime provinces,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722359,2.3.1,192,,,,0
e9fcd1fb-3e2d-43be-a5b5-25e28cb25408,Mar-70,Maritime provinces,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722367,2.4.1,106,,,,0
1b4f3bbc-3cce-4e20-a622-b14afa769a55,Mar-70,Quebec,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722344,3.1.1,46,,,,0
44e2d839-2ec4-4fff-96fa-847689eb2b51,Mar-70,Quebec,,Onions,Cold and common storage,Tonnes,288,units ,0,v722352,3.2.1,874,,,,0
fa12e90f-e144-411a-b4f5-61934ed88544,Mar-70,Quebec,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722360,3.3.1,997,,,,0
2b1345de-89e4-4bd0-b767-475324a4864a,Mar-70,Quebec,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722368,3.4.1,271,,,,0
c135b739-0669-49cd-90b2-226d26809ee5,Mar-70,Ontario,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722345,4.1.1,62,,,,0
787d9ef4-078d-4171-bf66-d4e8a26f622a,Mar-70,Ontario,,Onions,Cold and common storage,Tonnes,288,units ,0,v722353,4.2.1,7852,,,,0
93d7537a-577e-4f8e-b99f-5522d3d29e05,Mar-70,Ontario,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722361,4.3.1,13206,,,,0
cd781a6c-5ce3-4c61-b7a8-2cffc04321f4,Mar-70,Ontario,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722369,4.4.1,76,,,,0
adca18c3-74f0-4717-aa0a-8472814773a0,Mar-70,Manitoba,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722346,5.1.1,0,,,,0
7f49363d-ca74-4282-a2b2-aa02d67ec71d,Mar-70,Manitoba,,Onions,Cold and common storage,Tonnes,288,units ,0,v722354,5.2.1,113,,,,0
81a6a537-946f-44f9-b38d-e7a8da1c1fa5,Mar-70,Manitoba,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722362,5.3.1,181,,,,0
c525a66e-49a5-422a-a9d2-abd4ed79970f,Mar-70,Manitoba,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722370,5.4.1,32,,,,0
1e65039f-9986-40bc-be5d-539f9575bbc2,Mar-70,Saskatchewan,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722347,6.1.1,1,,,,0
032e2a65-96f5-4e86-9720-c1944846d65d,Mar-70,Saskatchewan,,Onions,Cold and common storage,Tonnes,288,units ,0,v722355,6.2.1,125,,,,0
c0a016c9-829c-489b-9254-dfb150ed533a,Mar-70,Saskatchewan,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722363,6.3.1,33,,,,0
2b37950d-ec5b-43c6-80de-72a629ea6754,Mar-70,Saskatchewan,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722371,6.4.1,34,,,,0
947f08ca-3aa1-40bd-8e70-d05591a366ad,Mar-70,Alberta,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722348,7.1.1,56,,,,0
c16c530e-1a28-4e29-a3c7-7969efe78ecd,Mar-70,Alberta,,Onions,Cold and common storage,Tonnes,288,units ,0,v722356,7.2.1,286,,,,0
8a7b643a-081a-4d2b-9224-15ead171189b,Mar-70,Alberta,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722364,7.3.1,123,,,,0
d79c8ef9-6b15-44af-a9a5-9621bec93f3b,Mar-70,Alberta,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722372,7.4.1,30,,,,0
898028ad-91fd-4b82-87cc-7fd4c6d78f1b,Mar-70,British Columbia,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722349,8.1.1,12,,,,0
3a373445-9b94-4829-8a4d-ac79f46555de,Mar-70,British Columbia,,Onions,Cold and common storage,Tonnes,288,units ,0,v722357,8.2.1,506,,,,0
